DOM Element Count,Legislation Section URL,Chapter,Part,Divison,Subdivision
21,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157854,Chapter 2 Exporting goods,Part 2 Exemptions,Division 2 Prohibited export and prescribed export conditions,2 8  Period for making application for exemption
22,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157855,Chapter 2 Exporting goods,Part 2 Exemptions,Division 2 Prohibited export and prescribed export conditions,2 9  Conditions of exemptionmatters to which Secretary must have regard
23,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157856,Chapter 2 Exporting goods,Part 2 Exemptions,Division 2 Prohibited export and prescribed export conditions,2 10  Period of effect of exemption
24,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157857,Chapter 2 Exporting goods,Part 2 Exemptions,Division 2 Prohibited export and prescribed export conditions,2 11  Variation of conditions of exemptionmatters to which Secretary must have regard
25,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157858,Chapter 2 Exporting goods,Part 2 Exemptions,Division 2 Prohibited export and prescribed export conditions,2 12  Revocation of exemptionmatter to which Secretary must have regard
26,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157859,Chapter 2 Exporting goods,Part 3 Government certificates,Division 2 Prohibited export and prescribed export conditions,
27,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157860,Chapter 2 Exporting goods,Part 3 Government certificates,Division 1 General,
28,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157861,Chapter 2 Exporting goods,Part 3 Government certificates,Division 1 General,2 13  Application of this Division
29,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157862,Chapter 2 Exporting goods,Part 3 Government certificates,Division 1 General,2 14  When government certificate may be issued in relation to prescribed livestock prescribed live animals or prescribed animal reproductive material
30,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157863,Chapter 2 Exporting goods,Part 3 Government certificates,Division 1 General,2 14 A  Application for new government certificate if original government certificate is revoked
31,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157864,Chapter 2 Exporting goods,Part 3 Government certificates,Division 1 General,2 15  Circumstances for refusing to issue government certificate
32,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157865,Chapter 2 Exporting goods,Part 3 Government certificates,Division 1 General,2 16  Changes that require holder of certificate to give additional or corrected information to issuing body
33,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157866,Chapter 2 Exporting goods,Part 3 Government certificates,Division 1 General,2 16 A  Circumstances for revocation of government certificate
34,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157867,Chapter 2 Exporting goods,Part 3 Government certificates,Division 1 General,2 17  Return of government certificate
35,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157868,Chapter 2 Exporting goods,Part 3 Government certificates,Division 2 Prescribed livestock,
36,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157869,Chapter 2 Exporting goods,Part 3 Government certificates,Division 2 Prescribed livestock,2 18  Application of this Division
37,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157870,Chapter 2 Exporting goods,Part 3 Government certificates,Division 2 Prescribed livestock,2 19  When application for government certificate may be made
38,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157871,Chapter 2 Exporting goods,Part 3 Government certificates,Division 2 Prescribed livestock,2 21  Requirements that must be complied with before government certificate may be issued
39,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157872,Chapter 2 Exporting goods,Part 3 Government certificates,Division 2 Prescribed livestock,2 22  Issuing body must consider conditions if any of approval of notice of intention to export consignment
40,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157873,Chapter 2 Exporting goods,Part 3 Government certificates,Division 3 Prescribed live animals,
41,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157874,Chapter 2 Exporting goods,Part 3 Government certificates,Division 3 Prescribed live animals,2 23  Application of this Division
42,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157875,Chapter 2 Exporting goods,Part 3 Government certificates,Division 3 Prescribed live animals,2 24  Issuing body must consider conditions if any of approval of notice of intention to export consignment
43,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157876,Chapter 4 Registered establishments,Part 3 Government certificates,Division 3 Prescribed live animals,
44,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157877,Chapter 4 Registered establishments,Part 1 Application of this Chapter,Division 3 Prescribed live animals,
45,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157878,Chapter 4 Registered establishments,Part 1 Application of this Chapter,Division 3 Prescribed live animals,4 1  Application of this Chapter
46,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157879,Chapter 4 Registered establishments,Part 2 Requirements for registration and other matters,Division 3 Prescribed live animals,
47,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157880,Chapter 4 Registered establishments,Part 2 Requirements for registration and other matters,Division 1 Requirements for registration,
48,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157881,Chapter 4 Registered establishments,Part 2 Requirements for registration and other matters,Division 1 Requirements for registration,4 2  Matters relating to construction equipment and facilities
49,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157882,Chapter 4 Registered establishments,Part 2 Requirements for registration and other matters,Division 1 Requirements for registration,4 3  Other requirements for registration
50,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157883,Chapter 4 Registered establishments,Part 2 Requirements for registration and other matters,Division 2 Other matters relating to registration,
51,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157884,Chapter 4 Registered establishments,Part 2 Requirements for registration and other matters,Division 2 Other matters relating to registration,4 4  Period of effect of registration
52,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157885,Chapter 4 Registered establishments,Part 3 Conditions of registration,Division 2 Other matters relating to registration,
53,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157886,Chapter 4 Registered establishments,Part 3 Conditions of registration,Division 2 Other matters relating to registration,4 5  Purpose of this Part
54,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157887,Chapter 4 Registered establishments,Part 3 Conditions of registration,Division 2 Other matters relating to registration,4 5 A  Australian Standards for the Export of Livestock
55,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157888,Chapter 4 Registered establishments,Part 3 Conditions of registration,Division 2 Other matters relating to registration,4 6  Prescribed livestock at establishment must be covered by registration and approved arrangement or operations and governance manual
56,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157889,Chapter 4 Registered establishments,Part 3 Conditions of registration,Division 2 Other matters relating to registration,4 7  Occupier must provide reasonable assistance to accredited veterinarian
57,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157890,Chapter 4 Registered establishments,Part 3 Conditions of registration,Division 2 Other matters relating to registration,4 8  Compliance with operations manual
58,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157891,Chapter 4 Registered establishments,Part 3 Conditions of registration,Division 2 Other matters relating to registration,4 9  Variation of operations manual
59,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157892,Chapter 4 Registered establishments,Part 4 Renewal of registration,Division 2 Other matters relating to registration,
60,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157893,Chapter 4 Registered establishments,Part 4 Renewal of registration,Division 2 Other matters relating to registration,4 10  Period within which application to renew registration must be made
61,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157894,Chapter 4 Registered establishments,Part 4 Renewal of registration,Division 2 Other matters relating to registration,4 11  Requirements for renewal of registration
62,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157895,Chapter 4 Registered establishments,Part 5 Variation of registration,Division 2 Other matters relating to registration,
63,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157896,Chapter 4 Registered establishments,Part 5 Variation of registration,Division 2 Other matters relating to registration,4 12  Variation by Secretaryother reasons for varying registration
64,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157897,Chapter 4 Registered establishments,Part 6 Suspension of registration,Division 2 Other matters relating to registration,
65,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157898,Chapter 4 Registered establishments,Part 6 Suspension of registration,Division 2 Other matters relating to registration,4 13  Other grounds for suspension
66,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157899,Chapter 4 Registered establishments,Part 7 Revocation of registration,Division 2 Other matters relating to registration,
67,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157900,Chapter 4 Registered establishments,Part 7 Revocation of registration,Division 2 Other matters relating to registration,4 14  Other grounds for revocation
68,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157901,Chapter 4 Registered establishments,Part 8 Matters relating to applications,Division 2 Other matters relating to registration,
69,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157902,Chapter 4 Registered establishments,Part 8 Matters relating to applications,Division 2 Other matters relating to registration,4 15  Application of this Part
70,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157903,Chapter 4 Registered establishments,Part 8 Matters relating to applications,Division 2 Other matters relating to registration,4 16  Initial consideration period
71,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157904,Chapter 4 Registered establishments,Part 8 Matters relating to applications,Division 2 Other matters relating to registration,4 17  Maximum period within which request relating to application must be complied with
72,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157905,Chapter 4 Registered establishments,Part 9 Miscellaneous,Division 2 Other matters relating to registration,
73,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157906,Chapter 4 Registered establishments,Part 9 Miscellaneous,Division 2 Other matters relating to registration,4 18  Secretary may publish information in reports relating to prescribed livestock
74,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157907,Chapter 5 Approved arrangements,Part 9 Miscellaneous,Division 2 Other matters relating to registration,
75,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157908,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 2 Other matters relating to registration,
76,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157909,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 1 Requirements for approval,
77,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157910,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 1 Requirements for approval,5 1  Other requirements for approval
78,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157911,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,
79,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157912,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,5 2  Purpose of this Division
80,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157913,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,5 3  Information for occupier of registered establishment where prescribed livestock are to be prepared for export by sea or air
81,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157914,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,5 4  Information for occupier of approved premises where prescribed livestock are to be prepared for export by air
82,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157915,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,5 4 A  Importing country requirements must be met
83,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157916,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,5 4 B  Requirements of Australian Standards for the Export of Livestock must be met
84,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157917,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 3 Renewal of approved arrangement,
85,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157918,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 3 Renewal of approved arrangement,5 5  Period within which application to renew approved arrangement must be made
86,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157919,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 4 Variation of approved arrangement,
87,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157920,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 4 Variation of approved arrangement,5 6  Application by holder for variationgrounds for refusing application
88,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157921,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 5 Suspension of approved arrangement,
89,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157922,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 5 Suspension of approved arrangement,5 7  Other grounds for suspension
90,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157923,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 6 Revocation of approved arrangement,
91,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157924,Chapter 5 Approved arrangements,Part 1 Approved arrangements other than for exporter supply chain assurance operations,Division 6 Revocation of approved arrangement,5 8  Other grounds for revocation
92,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157925,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 6 Revocation of approved arrangement,
93,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157926,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 1 Requirements for approval,
94,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157927,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 1 Requirements for approval,5 9  Purpose of this Division
95,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157928,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 1 Requirements for approval,5 10  Requirements relating to the applicant
96,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157929,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 1 Requirements for approval,5 11  Assurance rules and standards
97,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157930,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 1 Requirements for approval,5 12  Applicants management practices and business structure etc
98,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157931,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 1 Requirements for approval,5 13  Kinds of prescribed livestock and countries in relation to which exporter supply chain assurance operations are to be carried out
99,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157932,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,
100,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157933,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,5 14  Purpose of this Division
101,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157934,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,5 15  Requirements for approval must continue to be met
102,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157935,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,5 16  Compliance with assurance rules and meeting assurance standards
103,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157936,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,5 17  Information must be given to the Secretary about entities in relation to which exporter supply chain assurance operations have been carried out
104,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157937,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 2 Conditions of approved arrangement,5 18  Report to Secretary on exporter supply chain assurance operations carried out
105,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157938,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 3 Renewal of approved arrangement,
106,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157939,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 3 Renewal of approved arrangement,5 19  Period within which application to renew approved arrangement must be made
107,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157940,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 4 Variation of approved arrangement,
108,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157941,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 4 Variation of approved arrangement,5 20  Application by holder for variationgrounds for refusing application
109,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157942,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 4 Variation of approved arrangement,5 21  Significant variations
110,https://www.legislation.gov.au/F2021L00319/2024-04-30/2024-04-30/text/original/epub/OEBPS/document_1/document_1.html#_Toc166157943,Chapter 5 Approved arrangements,Part 2 Approved arrangements for exporter supply chain assurance operations,Division 5 Suspension of approved arrangement,
